tweet,label
"@Bisniscom Haha.. mn nich grace pencuri ganjar dari PDIP , malu ngk... malu ngk...",kontra
"@Uki23 Kenyataannya begitu, tetangga gue yg PDIP prinsipnya mati urip melu mega, saking bodone 😁",kontra
@geloraco PDIP takut,kontra
@VIVAcoid HAHA.. PSI NGAMBIL KADER PARTAI LAIN YAITU PDIP.. MALU NGK PSI YG MENCURI GANJAR DARI PDIP ? DAN PDIP NYA MARAH DAN TIDAK SUDI.. DI MANA OTAK MU DAN MUKA MU GRACE KAU TAROK.. NGK ADA KORDINASI TIBA2 MENCALONKAN ORG LAIN..,kontra
"@VIVAcoid Kubu Puan kalang kabut... Mau ga mau pdip harus nyalonin pak Ganjar, supaya ga terlalu gampang pak Anies menang di pilpres...  Ganjar-Erick Anies-Khofifah Prabowo-Imin  Menarik nih...",pro
@KPK_RI Gmn nih dg masiku PDIP?,pro
Megawati memberi kuliah umum di Seskoal. Bu Mega yang hadir bersama Sekjen PDIP Hasto Kristiyanto disambut KSAL Laksamana Yudo Margono dan jajaran TNI AL. #MegawatiSoekarnoputri  https://t.co/n8aZ7FeJDk,kontra
@moonareas hmu,pro
@moonareas wow,kontra
@Bisniscom Emang kenapa? Kan calonnya pdip si puan. Kok ngamoook .... Lhooo ....,pro
Nasdem usung Anies capres 2024  PDIP diyakini usung Ganjar  klo Ganjar-Puan gimana?  https://t.co/2JxUnrI5jJ,kontra
@sajiwajiw noci striming geming,pro
PDIP Bakal Pusing Cari Lawan yang Sebanding dengan Anies Baswedan  https://t.co/sMTyAOSjAo,kontra
@camarsderie semangat kata ilham,pro
@Dennysiregar7 @NasDem Haha PDIP gak ikut kau unfollow Krn gak Deklarasi Ganjar ?,pro
PDIP Kesal PSI Deklarasi Ganjar Tanpa Izin Terlebih Dahulu  https://t.co/VJ1W2Hoquz,kontra
PDIP Sumut Berangkatkan 11 Ton Sembako Bantuan Untuk Korban Gempa Taput  https://t.co/iK2KdDwx8Y,pro
"@vicmelotia @ChusnulCh__ Pak Jokowi dari PDIP, Ahok dari Gerindra. Akhirnya jadi Gubernur &amp; Wakil Gubernur DKI. Jokowi gak ada hubungannya dgn Prabowo. Jokowi hubungannya dgn Mega. Klau Prabowo hubungannya dgn Mega, berkoalisi, maju Pilkada DKI.",pro
@abu_waras pdip jadi apa?,kontra
@ShenoWirang Ini dia yg bikin kacau pdip akhir2 ini...nikmati kadermu pdip...,pro
@moonareas wow,kontra
@pemnghulu terharu,pro
@moonareas wow,kontra
"Deklarasi Anies Capres, NasDem Dinilai Siap Pisah Jalan dengan Jokowi dan PDIP  https://t.co/Et0mfFPp5a",pro
@epanmuze knapa u,pro
"@Seaghos49460189 @Hutab3Hutab Ini bener juga sih,  tapi kalau wakilnya dari pdip saya tidak akan pilih",kontra
@OposisiCerdas SATRIO PININGIT Harun Masiku Bakal Capres dari PDIP?.,pro
"Setelah Nasdem Deklarasi Capres, PDIP Diyakini Bakal Pilih Ganjar untuk Imbangi Popularitas Anies  https://t.co/LQcQaPdFWi",pro
@IMCMushroom Dia lagi nekan PDIP !!!,kontra
@baotol @moonareas  https://t.co/h3p8aKaqMW,pro
"Ganjar: PDIP Mesti Menang Hattrick, Saya Kan Kader Toh  https://t.co/Wv9OihESrS",kontra
"Lama-kelamaan si Pacul ini akan menggerus suara PDIP, karena kelakuannya yang kerap menyerang kawan se-Banteng.  —BANYAK BACOT !  https://t.co/KNpoaSQ6eN",pro
@Smart_O_ @Kartika50887721 @tohariazka87 @CutSarina5 @zul_only @niluhdjelantik Asal bukan PDIP. TITIK,pro
Situ entar seharusny jangan cemas masih harus nungguin pengumuman pdip,kontra
"Prabowo dan Anies Dideklarasikan Jadi Capres, PDIP Dinilai Tak Punya Pilihan Kecuali Usung Ganjar  https://t.co/kgEf9DPprn",pro
"@Smart_O_ @Kartika50887721 @tohariazka87 @CutSarina5 @zul_only @niluhdjelantik Prinsip gw saat ini, dimn PDIP dan Buzzerp berada gw pilih lawannya.  https://t.co/enKnpX9SmZ",kontra
" https://t.co/RQBkHvzF9U Partai Solidaritas Indonesia (PSI) resmi mendeklarasikan politisi PDI Perjuangan (PDIP) G #berita #nasional  https://t.co/yax4BQSYvX",pro
"@abu_waras PDIP ,PSI,KAGAK USAH IKUT GABUNG",kontra
"@ruhutsitompul Kriminalisasi #PDIP   Kalau nggak curang, PDIP nggak akan pernah Menang Pemilu,  ini yg mengatakan Petinggi PDIP",kontra
"PSI Pilih Jadi Capres, Elite PDIP: Kira-Kira Pantas Nggak?  https://t.co/17R2pb0r4t",pro
@950mp wow,pro
"@niluhdjelantik Masuk PDIP capres PDIP Prabowo Puan keluar, masuk PSI boleh tuh 😂",pro
@baotol @moonareas mau hadiah apa kata jokowi,kontra
@baotol @moonareas sayang,kontra
PDIP Tak Ambil Pusing soal Dukungan PSI untuk Ganjar Pranowo  https://t.co/NIHUCv4c51,pro
@uusbustami nah pdip sarang PKI vs PSI sarang kambing..,kontra
Anis dlm menggunakan dana APBD pasti sdh disetujui DPRD donk ?  Efek domino kasus ini ke Nasdem ( Ahmad Sahroni ) dan PDIP ( ketua DPRD) dan BANGGAR. Emang KPK berani ? Ini br scr analisa sosial blm masuk ke materi perkara lho.,pro
"Silahkan Print Postingan ini,  Lalu Tempelkan di Ruang Tamu :  ""Pada Akhirnya di 2024, Partai-Partai Akan Bergabung Menjadi Koalisi Bersama Yang Mencapreskan Anies. Karena Sepemikiran, Bahwa Bangsa &amp; Negara ini Perlu Diselamatkan Bersama-sama. Yang Oposisi Nantinya  PDIP dan PSI""",kontra
@abu_waras perpecahan itu sudah biasa terjadi di lingkungan PSI&amp;PDIP,pro
@Matinokhoirudi2 @mediapemberani nah itu bagian pdip..,kontra
TOLONG KASIH KAMI DATA!  # Nasdem | Anies Baswedan | Surya Paloh | PDIP | Ade Armando  https://t.co/FpJIi64Nh1,pro
@OposisiCerdas Kembali atau merapat ke pdip kali ..,kontra
